sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
518.67,642.27,1584.4900000000002,1403.33,14.62,21.61,553.55,2388.01,9054.46,1.3,47.09,522.32,2388.03,8142.849999999999,8.3821,0.03,393.0,2388.0,100.0,38.9,23.4797
518.67,642.0,1589.99,1398.72,14.62,21.6,554.24,2388.02,9058.34,1.3,47.13,522.75,2387.99,8145.46,8.3634,0.03,392.0,2388.0,100.0,39.03,23.387899999999995
518.67,642.04,1576.7300000000002,1397.18,14.62,21.61,554.39,2388.0,9052.74,1.3,47.22,522.25,2388.09,8140.92,8.404,0.03,390.99999999999994,2388.0,100.0,39.06,23.445799999999995
518.67,641.84,1587.0300000000002,1394.02,14.62,21.61,554.51,2388.03,9060.9,1.3,47.24,522.84,2388.0,8141.509999999999,8.346,0.03,393.99999999999994,2388.0,100.0,39.17,23.454300000000003
518.67,641.93,1586.22,1390.54,14.62,21.61,554.48,2388.03,9059.78,1.3,47.29,522.29,2388.01,8137.46,8.36,0.03,390.99999999999994,2388.0,100.0,39.04,23.4113
518.67,642.26,1583.88,1395.61,14.62,21.61,554.8,2387.99,9057.86,1.3,47.22,522.09,2388.01,8146.62,8.3996,0.03,390.0,2388.0,100.0,39.02,23.3734
518.67,642.1,1586.3799999999999,1401.94,14.62,21.61,553.79,2388.03,9068.35,1.3,47.24,522.62,2388.03,8144.3,8.3853,0.03,390.0,2388.0,100.0,38.92,23.3887
518.67,642.61,1593.3,1399.11,14.62,21.6,554.26,2388.01,9057.19,1.3,47.31,522.04,2388.0,8142.149999999999,8.3773,0.03,390.99999999999994,2388.0,100.0,39.0,23.3798
518.67,642.5,1580.67,1396.12,14.62,21.61,554.8,2388.0,9063.29,1.3,47.05,521.99,2387.94,8144.4,8.3447,0.03,390.99999999999994,2388.0,100.0,38.83,23.3859
518.67,642.58,1581.3399999999997,1389.96,14.62,21.61,554.49,2388.02,9059.52,1.3,47.27,522.13,2387.99,8148.29,8.4153,0.03,392.0,2388.0,100.0,39.14,23.5178
518.67,641.94,1578.7500000000002,1405.08,14.62,21.61,553.77,2388.01,9063.59,1.3,47.18,522.49,2387.93,8148.389999999999,8.3929,0.03,390.99999999999994,2388.0,100.0,39.07,23.4417
518.67,641.81,1585.82,1396.36,14.62,21.61,554.4,2387.96,9068.19,1.3,47.06,522.17,2388.0,8144.6900000000005,8.431,0.03,390.99999999999994,2388.0,100.0,38.87,23.353999999999996
518.67,642.3,1583.6500000000003,1397.03,14.62,21.61,554.53,2388.04,9057.6,1.3,47.13,522.58,2387.97,8143.55,8.3985,0.03,392.0,2388.0,100.0,39.13,23.3591
518.67,642.24,1583.63,1399.9,14.62,21.61,554.37,2387.96,9060.88,1.3,47.15,522.18,2387.93,8145.840000000001,8.3761,0.03,392.0,2388.0,100.0,38.99,23.4162
518.67,642.03,1578.5,1402.19,14.62,21.6,554.07,2387.96,9058.39,1.3,47.34,522.59,2388.0,8141.110000000001,8.3891,0.03,390.0,2388.0,100.0,39.01,23.3901
518.67,642.22,1584.2,1394.39,14.62,21.61,554.42,2388.05,9059.9,1.3,47.34,522.61,2388.06,8144.280000000001,8.3827,0.03,390.99999999999994,2388.0,100.0,39.02,23.4438
518.67,642.16,1588.44,1402.0,14.62,21.61,555.29,2388.02,9065.5,1.3,47.24,522.79,2387.99,8145.6,8.4322,0.03,390.99999999999994,2388.0,100.0,38.94,23.4156
518.67,641.45,1578.2799999999997,1395.75,14.62,21.61,554.51,2388.01,9062.77,1.3,47.37,522.58,2387.97,8147.860000000001,8.4021,0.03,390.99999999999994,2388.0,100.0,38.98,23.3659
518.67,642.06,1581.2199999999998,1400.81,14.62,21.61,553.98,2388.04,9061.5,1.3,47.06,522.36,2387.98,8147.92,8.4107,0.03,390.99999999999994,2388.0,100.0,39.12,23.4582
518.67,642.05,1579.31,1398.79,14.62,21.61,554.55,2388.03,9063.2,1.3,47.16,522.43,2387.98,8142.859999999999,8.3858,0.03,393.0,2388.0,100.0,39.12,23.4819
518.67,642.43,1587.37,1392.57,14.62,21.61,553.97,2388.03,9065.04,1.3,47.3,522.01,2388.02,8141.99,8.3917,0.03,390.99999999999994,2388.0,100.0,39.07,23.4405
518.67,642.37,1582.75,1396.55,14.62,21.61,554.38,2387.98,9060.52,1.3,47.19,522.15,2388.07,8145.759999999999,8.378,0.03,392.0,2388.0,100.0,38.94,23.386500000000005
518.67,642.39,1582.3199999999997,1400.69,14.62,21.61,554.32,2388.04,9066.41,1.3,47.25,522.32,2388.0,8145.66,8.4076,0.03,393.0,2388.0,100.0,38.91,23.4223
518.67,641.47,1585.0599999999997,1397.72,14.62,21.61,554.32,2388.05,9062.78,1.3,47.11,521.71,2388.02,8150.56,8.4228,0.03,392.0,2388.0,100.0,39.0,23.3075
518.67,642.14,1591.9,1409.27,14.62,21.61,553.99,2388.02,9065.44,1.3,47.3,522.15,2388.03,8141.870000000001,8.417,0.03,390.99999999999994,2388.0,100.0,39.01,23.2435
518.67,642.69,1591.89,1389.5,14.62,21.61,553.73,2388.01,9056.17,1.3,47.27,522.17,2387.96,8138.33,8.4166,0.03,392.0,2388.0,100.0,38.92,23.49
518.67,642.72,1577.73,1402.92,14.62,21.61,554.65,2388.05,9059.19,1.3,47.19,522.45,2387.98,8141.99,8.4282,0.03,392.0,2388.0,100.0,39.19,23.4269
518.67,641.87,1585.54,1394.63,14.62,21.61,554.29,2388.0,9065.4,1.3,47.2,522.79,2387.95,8144.03,8.4072,0.03,393.99999999999994,2388.0,100.0,39.09,23.4565
518.67,642.18,1587.6100000000001,1400.45,14.62,21.61,554.06,2387.96,9061.02,1.3,47.11,522.38,2387.94,8140.68,8.4166,0.03,390.99999999999994,2388.0,100.0,38.98,23.516299999999998
518.67,642.27,1593.25,1392.6,14.62,21.61,554.88,2388.02,9062.46,1.3,47.19,522.66,2387.99,8150.02,8.4018,0.03,392.0,2388.0,100.0,38.89,23.3844
518.67,642.21,1592.81,1395.49,14.62,21.61,554.29,2388.0,9063.07,1.3,47.18,522.58,2387.94,8150.04,8.4071,0.03,392.0,2388.0,100.0,39.04,23.523
518.67,642.6,1584.04,1404.73,14.62,21.61,554.18,2388.01,9062.61,1.3,47.27,522.11,2388.0,8143.610000000001,8.3609,0.03,392.0,2388.0,100.0,38.99,23.3856
518.67,642.32,1590.18,1397.62,14.62,21.61,553.82,2387.99,9056.95,1.3,47.16,522.63,2388.05,8139.26,8.4063,0.03,392.0,2388.0,100.0,38.89,23.426999999999996
518.67,642.41,1585.8,1400.3,14.62,21.61,554.06,2388.03,9057.02,1.3,47.2,522.38,2388.09,8145.360000000001,8.3952,0.03,390.99999999999994,2388.0,100.0,39.02,23.382499999999997
518.67,642.36,1580.86,1390.76,14.62,21.61,554.56,2388.08,9064.4,1.3,47.34,522.57,2388.02,8139.890000000001,8.3715,0.03,392.0,2388.0,100.0,39.03,23.3958
518.67,642.15,1583.95,1401.17,14.62,21.61,554.61,2388.0,9061.32,1.3,47.25,522.27,2388.01,8142.37,8.3867,0.03,393.0,2388.0,100.0,39.02,23.3655
518.67,642.37,1591.94,1394.01,14.62,21.61,554.68,2387.97,9060.34,1.3,47.16,522.65,2387.99,8144.25,8.3821,0.03,390.99999999999994,2388.0,100.0,39.07,23.3651
518.67,642.14,1584.5999999999997,1401.83,14.62,21.61,554.88,2387.95,9066.98,1.3,47.15,522.17,2387.97,8145.72,8.4142,0.03,392.0,2388.0,100.0,38.97,23.413599999999995
518.67,641.88,1585.55,1395.74,14.62,21.61,554.55,2388.04,9056.21,1.3,47.22,521.52,2387.99,8144.04,8.3921,0.03,390.99999999999994,2388.0,100.0,39.27,23.345000000000002
518.67,642.2,1585.57,1399.32,14.62,21.61,554.58,2388.04,9054.53,1.3,47.06,522.0,2387.99,8139.96,8.3796,0.03,390.99999999999994,2388.0,100.0,38.92,23.321700000000003
518.67,642.37,1587.6900000000003,1394.76,14.62,21.61,554.3,2387.97,9059.34,1.3,47.11,521.78,2388.01,8140.530000000001,8.3523,0.03,390.0,2388.0,100.0,38.97,23.4311
518.67,641.79,1586.0,1399.0,14.62,21.6,554.16,2387.94,9066.07,1.3,47.18,522.99,2387.97,8144.140000000001,8.3839,0.03,392.0,2388.0,100.0,39.04,23.3614
518.67,641.92,1585.43,1392.34,14.62,21.61,554.17,2388.01,9065.34,1.3,47.31,522.26,2387.92,8141.94,8.3951,0.03,390.99999999999994,2388.0,100.0,39.26,23.5152
518.67,642.15,1587.44,1390.79,14.62,21.61,554.51,2388.02,9062.12,1.3,47.26,522.06,2388.02,8143.36,8.4382,0.03,392.0,2388.0,100.0,39.01,23.3904
518.67,642.48,1583.52,1393.19,14.62,21.61,554.91,2388.0,9065.53,1.3,47.35,522.04,2388.02,8141.029999999999,8.385,0.03,390.99999999999994,2388.0,100.0,38.99,23.429000000000002
518.67,642.67,1578.93,1397.59,14.62,21.61,554.42,2387.99,9059.86,1.3,47.27,522.28,2388.04,8141.94,8.3747,0.03,392.0,2388.0,100.0,39.31,23.477599999999995
518.67,642.28,1581.6900000000003,1403.02,14.62,21.61,554.11,2388.0,9059.79,1.3,47.15,521.77,2388.06,8143.31,8.4187,0.03,392.0,2388.0,100.0,38.86,23.4142
518.67,642.84,1589.95,1398.37,14.62,21.61,554.78,2387.96,9058.93,1.3,47.14,522.81,2388.02,8148.61,8.4057,0.03,393.0,2388.0,100.0,38.97,23.440899999999996
518.67,642.11,1581.7,1395.43,14.62,21.61,553.1,2388.03,9054.13,1.3,47.19,521.94,2387.98,8138.01,8.3772,0.03,393.99999999999994,2388.0,100.0,39.15,23.4965
518.67,642.34,1580.3599999999997,1399.8,14.62,21.61,554.67,2388.03,9054.55,1.3,47.25,522.32,2388.05,8145.349999999999,8.4029,0.03,392.0,2388.0,100.0,39.0,23.446
518.67,642.19,1584.9399999999998,1398.83,14.62,21.61,554.54,2388.0,9063.67,1.3,47.25,522.11,2388.0,8147.720000000001,8.394,0.03,392.0,2388.0,100.0,39.05,23.4712
518.67,641.9,1580.03,1396.96,14.62,21.6,554.29,2388.05,9059.68,1.3,47.27,522.32,2388.03,8143.07,8.3932,0.03,393.0,2388.0,100.0,39.08,23.3939
518.67,642.27,1585.0100000000002,1393.18,14.62,21.6,554.56,2387.97,9064.29,1.3,47.14,522.62,2387.99,8141.84,8.386,0.03,390.99999999999994,2388.0,100.0,38.94,23.4262
518.67,642.51,1589.5700000000002,1397.32,14.62,21.61,554.5,2388.01,9061.09,1.3,47.19,522.56,2388.01,8142.02,8.4251,0.03,390.99999999999994,2388.0,100.0,38.78,23.437199999999997
518.67,641.99,1582.05,1396.34,14.62,21.61,554.11,2388.06,9066.66,1.3,47.21,522.64,2388.03,8142.94,8.3974,0.03,390.99999999999994,2388.0,100.0,38.94,23.342
518.67,642.18,1583.86,1395.04,14.62,21.61,554.56,2388.0,9058.63,1.3,47.23,522.39,2388.02,8141.54,8.3653,0.03,390.99999999999994,2388.0,100.0,39.02,23.4308
518.67,642.5,1580.93,1400.14,14.62,21.61,554.32,2387.96,9052.78,1.3,47.31,522.2,2388.04,8143.250000000001,8.3806,0.03,390.0,2388.0,100.0,38.87,23.558699999999998
518.67,642.51,1591.77,1396.1,14.62,21.61,554.39,2388.08,9055.12,1.3,47.21,521.91,2388.04,8139.92,8.3698,0.03,392.0,2388.0,100.0,38.88,23.339
518.67,642.29,1591.3,1390.47,14.62,21.61,553.88,2387.95,9064.67,1.3,47.14,522.42,2388.04,8136.31,8.4179,0.03,392.0,2388.0,100.0,38.94,23.4617
518.67,642.2,1582.7,1394.4,14.62,21.61,554.13,2388.02,9066.03,1.3,47.28,523.01,2387.97,8145.930000000001,8.4055,0.03,390.0,2388.0,100.0,38.98,23.3803
518.67,641.81,1583.5100000000002,1404.62,14.62,21.61,553.75,2388.08,9055.04,1.3,47.2,522.64,2388.1,8143.65,8.371,0.03,392.0,2388.0,100.0,38.87,23.3312
518.67,642.04,1580.4,1399.11,14.62,21.61,554.88,2387.99,9057.61,1.3,47.08,521.99,2388.01,8142.890000000001,8.399,0.03,390.0,2388.0,100.0,39.16,23.3819
518.67,641.94,1586.2399999999998,1391.02,14.62,21.61,554.66,2388.01,9050.91,1.3,47.26,522.09,2387.99,8142.74,8.3816,0.03,393.0,2388.0,100.0,38.96,23.4656
518.67,641.96,1580.58,1398.62,14.62,21.61,554.59,2388.02,9056.49,1.3,47.17,522.17,2388.06,8146.610000000001,8.403,0.03,390.99999999999994,2388.0,100.0,38.91,23.3979
518.67,641.9,1577.73,1390.12,14.62,21.6,554.71,2388.02,9053.11,1.3,47.19,522.28,2388.02,8142.33,8.4059,0.03,392.0,2388.0,100.0,38.97,23.3536
518.67,642.41,1585.9900000000002,1399.84,14.62,21.61,553.79,2388.01,9063.99,1.3,47.27,522.35,2388.01,8137.669999999999,8.4111,0.03,392.0,2388.0,100.0,39.03,23.386200000000002
518.67,642.23,1588.5300000000002,1402.34,14.62,21.61,553.69,2387.98,9061.58,1.3,47.33,522.72,2388.05,8144.31,8.4213,0.03,393.0,2388.0,100.0,38.94,23.3661
518.67,642.08,1581.2799999999997,1395.4,14.62,21.61,554.16,2388.0,9061.1,1.3,47.32,522.73,2388.06,8142.6,8.3962,0.03,390.99999999999994,2388.0,100.0,39.06,23.4511
518.67,642.22,1589.01,1394.94,14.62,21.61,554.53,2387.97,9061.9,1.3,47.22,522.19,2388.01,8144.9,8.3924,0.03,392.0,2388.0,100.0,38.97,23.3978
518.67,642.12,1582.87,1396.1,14.62,21.61,555.22,2388.04,9065.67,1.3,47.26,522.33,2388.02,8142.17,8.3926,0.03,390.0,2388.0,100.0,39.06,23.3981
518.67,642.67,1584.19,1393.61,14.62,21.61,555.04,2387.99,9067.6,1.3,47.23,522.43,2388.03,8142.3,8.3981,0.03,392.0,2388.0,100.0,38.93,23.3594
518.67,642.09,1588.5300000000002,1399.46,14.62,21.61,554.54,2388.04,9061.94,1.3,47.38,522.17,2388.01,8145.81,8.4208,0.03,392.0,2388.0,100.0,39.07,23.2861
518.67,641.67,1585.45,1397.55,14.62,21.61,553.75,2387.97,9070.2,1.3,47.26,522.48,2388.03,8145.48,8.4222,0.03,392.0,2388.0,100.0,38.93,23.3545
518.67,642.14,1578.82,1396.02,14.62,21.61,554.28,2388.02,9058.2,1.3,47.25,522.56,2387.99,8147.36,8.4031,0.03,393.99999999999994,2388.0,100.0,39.05,23.3648
518.67,642.4,1581.26,1397.08,14.62,21.6,554.35,2388.05,9067.86,1.3,47.13,522.06,2387.99,8150.98,8.3795,0.03,392.0,2388.0,100.0,39.01,23.4952
518.67,641.9,1584.82,1394.25,14.62,21.61,554.63,2388.03,9062.73,1.3,47.23,521.92,2387.99,8141.599999999999,8.4113,0.03,392.0,2388.0,100.0,38.99,23.388600000000004
518.67,641.84,1588.38,1395.05,14.62,21.61,554.32,2388.05,9064.3,1.3,47.22,522.18,2388.01,8143.120000000001,8.4057,0.03,392.0,2388.0,100.0,39.15,23.2692
518.67,642.41,1581.64,1393.51,14.62,21.6,554.93,2388.04,9057.48,1.3,47.36,522.4,2388.02,8144.199999999999,8.4045,0.03,393.0,2388.0,100.0,39.14,23.422099999999997
518.67,642.23,1589.1799999999998,1402.59,14.62,21.6,554.37,2388.0,9061.68,1.3,47.35,522.48,2388.03,8142.930000000001,8.4111,0.03,392.0,2388.0,100.0,39.16,23.493899999999996
518.67,641.91,1585.04,1399.93,14.62,21.61,554.75,2388.03,9060.63,1.3,47.18,521.86,2388.02,8142.900000000001,8.3744,0.03,390.99999999999994,2388.0,100.0,39.19,23.3075
518.67,642.01,1587.2300000000002,1403.14,14.62,21.61,554.65,2388.04,9060.56,1.3,47.31,522.41,2387.98,8137.16,8.4314,0.03,393.0,2388.0,100.0,38.91,23.3864
518.67,642.51,1577.03,1399.02,14.62,21.61,553.79,2388.0,9066.94,1.3,47.2,521.91,2388.03,8142.37,8.3964,0.03,390.99999999999994,2388.0,100.0,39.05,23.426500000000004
518.67,642.42,1585.16,1403.28,14.62,21.61,554.01,2388.09,9065.67,1.3,47.23,522.41,2388.0,8139.12,8.3937,0.03,390.99999999999994,2388.0,100.0,38.96,23.493100000000002
518.67,641.73,1585.8,1396.91,14.62,21.61,554.4,2388.02,9060.64,1.3,47.21,522.12,2388.02,8148.14,8.4126,0.03,390.99999999999994,2388.0,100.0,38.94,23.442500000000003
518.67,642.58,1582.62,1395.66,14.62,21.61,553.69,2387.99,9061.66,1.3,47.08,522.74,2388.05,8146.5599999999995,8.3884,0.03,392.0,2388.0,100.0,39.04,23.366900000000005
518.67,641.82,1588.2100000000003,1398.1,14.62,21.61,554.5,2388.01,9063.16,1.3,47.21,521.99,2388.0,8144.51,8.3893,0.03,392.0,2388.0,100.0,39.07,23.409399999999998
518.67,641.95,1588.48,1393.72,14.62,21.61,554.4,2388.04,9067.13,1.3,47.3,522.25,2388.05,8143.5199999999995,8.4058,0.03,390.99999999999994,2388.0,100.0,38.81,23.4601
518.67,642.08,1584.31,1397.7,14.62,21.61,554.2,2388.05,9064.43,1.3,47.21,522.42,2387.98,8144.62,8.3867,0.03,390.99999999999994,2388.0,100.0,38.97,23.4407
518.67,642.16,1584.13,1398.68,14.62,21.61,554.91,2388.01,9063.02,1.3,47.25,522.19,2388.01,8143.389999999999,8.454,0.03,392.0,2388.0,100.0,39.05,23.4496
518.67,642.08,1585.62,1399.36,14.62,21.61,554.72,2388.02,9056.35,1.3,47.26,522.36,2388.01,8141.53,8.3578,0.03,390.0,2388.0,100.0,39.06,23.3673
518.67,641.74,1593.2300000000002,1398.4,14.62,21.61,553.27,2388.06,9068.75,1.3,47.42,522.13,2388.07,8145.73,8.3993,0.03,390.99999999999994,2388.0,100.0,38.95,23.3888
518.67,641.76,1582.86,1396.44,14.62,21.61,554.45,2387.99,9062.74,1.3,47.5,522.03,2388.02,8145.72,8.3911,0.03,392.0,2388.0,100.0,39.08,23.390699999999995
518.67,642.39,1588.11,1400.23,14.62,21.61,554.81,2388.0,9064.05,1.3,47.05,522.25,2388.0,8141.870000000001,8.4234,0.03,392.0,2388.0,100.0,39.13,23.3844
518.67,642.01,1593.15,1399.72,14.62,21.61,554.24,2388.01,9055.25,1.3,47.1,521.99,2388.0,8139.540000000001,8.4042,0.03,392.0,2388.0,100.0,39.11,23.220900000000004
518.67,641.95,1580.22,1389.68,14.62,21.61,554.39,2388.0,9061.02,1.3,47.14,522.86,2387.99,8143.13,8.4068,0.03,390.99999999999994,2388.0,100.0,39.09,23.4381
518.67,642.47,1585.8,1393.6,14.62,21.61,553.51,2388.03,9059.61,1.3,47.27,522.16,2388.02,8141.460000000001,8.4306,0.03,393.99999999999994,2388.0,100.0,39.17,23.338400000000004
518.67,642.38,1583.2399999999998,1393.61,14.62,21.61,554.25,2387.98,9054.89,1.3,47.43,522.28,2388.02,8145.229999999999,8.3851,0.03,390.99999999999994,2388.0,100.0,39.02,23.379200000000004
518.67,642.22,1580.95,1399.85,14.62,21.61,554.43,2388.05,9072.38,1.3,47.34,521.8,2387.99,8135.1,8.4401,0.03,392.0,2388.0,100.0,38.91,23.2775
518.67,642.45,1584.24,1399.34,14.62,21.61,554.45,2387.99,9064.82,1.3,47.19,522.41,2388.04,8141.39,8.4196,0.03,392.0,2388.0,100.0,39.11,23.422999999999995
518.67,642.41,1592.4399999999998,1404.36,14.62,21.61,554.75,2388.02,9062.99,1.3,47.27,521.91,2388.02,8141.780000000001,8.4115,0.03,393.0,2388.0,100.0,39.06,23.309400000000004
518.67,642.1,1597.88,1403.29,14.62,21.61,554.47,2387.99,9064.64,1.3,47.31,522.17,2388.04,8144.36,8.4484,0.03,393.0,2388.0,100.0,38.97,23.423299999999998
518.67,642.2,1581.51,1398.84,14.62,21.61,553.81,2388.05,9063.11,1.3,47.21,522.49,2388.08,8140.03,8.3919,0.03,392.0,2388.0,100.0,39.13,23.333500000000004
518.67,642.04,1587.67,1397.43,14.62,21.61,554.99,2388.03,9062.71,1.3,47.32,522.13,2388.01,8136.950000000001,8.4138,0.03,393.0,2388.0,100.0,39.08,23.4507
518.67,642.57,1582.7300000000002,1400.5,14.62,21.6,554.12,2387.98,9063.59,1.3,47.31,522.01,2388.05,8143.5199999999995,8.4156,0.03,393.0,2388.0,100.0,38.71,23.452699999999997
518.67,642.71,1584.9500000000003,1400.06,14.62,21.61,554.11,2388.05,9060.1,1.3,47.18,522.13,2387.95,8143.95,8.3915,0.03,390.99999999999994,2388.0,100.0,38.96,23.418799999999997
518.67,642.09,1586.23,1397.99,14.62,21.61,553.96,2388.02,9056.24,1.3,47.22,522.32,2388.02,8147.4,8.3685,0.03,392.0,2388.0,100.0,39.03,23.4138
518.67,641.59,1575.44,1400.12,14.62,21.61,554.21,2388.03,9057.03,1.3,47.37,522.15,2388.06,8136.810000000001,8.4085,0.03,390.99999999999994,2388.0,100.0,39.06,23.3082
518.67,642.05,1595.29,1399.08,14.62,21.61,553.87,2388.03,9058.27,1.3,47.29,522.22,2388.03,8150.189999999999,8.4129,0.03,393.0,2388.0,100.0,38.94,23.2207
518.67,641.96,1585.35,1403.81,14.62,21.61,554.78,2388.08,9058.39,1.3,47.25,522.01,2388.02,8140.07,8.3667,0.03,393.0,2388.0,100.0,39.07,23.4398
518.67,642.27,1589.26,1398.67,14.62,21.61,554.88,2388.03,9060.71,1.3,47.35,522.59,2388.01,8145.14,8.3813,0.03,393.99999999999994,2388.0,100.0,38.88,23.4785
518.67,642.22,1584.44,1395.78,14.62,21.61,554.71,2388.01,9064.35,1.3,47.33,521.65,2388.01,8145.78,8.4209,0.03,392.0,2388.0,100.0,39.07,23.3836
518.67,642.2,1589.74,1402.89,14.62,21.61,553.64,2388.06,9061.78,1.3,47.14,522.31,2388.01,8142.089999999999,8.4037,0.03,393.0,2388.0,100.0,38.99,23.3561
518.67,642.18,1585.39,1403.07,14.62,21.61,554.99,2388.08,9059.54,1.3,47.28,522.11,2388.04,8143.85,8.4222,0.03,390.99999999999994,2388.0,100.0,38.95,23.3814
518.67,642.13,1580.73,1403.39,14.62,21.61,552.89,2387.98,9059.71,1.3,47.21,521.81,2388.04,8146.01,8.3635,0.03,393.0,2388.0,100.0,39.1,23.4766
518.67,642.69,1591.9799999999998,1394.89,14.62,21.61,554.04,2387.98,9061.3,1.3,47.31,522.22,2388.06,8145.38,8.3906,0.03,390.99999999999994,2388.0,100.0,38.98,23.4822
518.67,642.27,1584.5500000000002,1393.58,14.62,21.61,554.18,2388.05,9056.86,1.3,47.27,522.61,2388.05,8140.9800000000005,8.397499999999999,0.03,390.99999999999994,2388.0,100.0,38.99,23.255500000000005
518.67,642.41,1577.85,1400.48,14.62,21.61,554.39,2388.09,9058.07,1.3,47.32,521.78,2388.03,8147.65,8.383,0.03,390.99999999999994,2388.0,100.0,39.06,23.3966
518.67,642.5,1587.59,1405.63,14.62,21.61,554.23,2388.04,9055.26,1.3,47.24,522.27,2388.02,8148.79,8.4256,0.03,393.99999999999994,2388.0,100.0,39.04,23.348599999999998
518.67,642.4,1582.6,1403.04,14.62,21.61,555.46,2388.07,9056.46,1.3,47.26,522.38,2388.01,8140.349999999999,8.4296,0.03,392.0,2388.0,100.0,38.81,23.3061
